id,actorid_id,movieid_id
22673,nm0000242,tt1386588
22674,nm0578949,tt1386588
22675,nm0000474,tt1386588
22681,nm0004937,tt1853728
22682,nm0910607,tt1853728
22683,nm0000138,tt1853728
22684,nm0913488,tt1853728
22685,nm0000168,tt1853728
22696,nm0000230,tt1764651
22697,nm0005458,tt1764651
22698,nm0001472,tt1764651
22699,nm0000185,tt1764651
22700,nm0001569,tt1764651
22717,nm0000136,tt1243957
22718,nm0001401,tt1243957
22719,nm0079273,tt1243957
22720,nm0001096,tt1243957
22721,nm0000925,tt1243957
22747,nm0000158,tt1371111
22748,nm0000932,tt1371111
22749,nm0000980,tt1371111
22750,nm0915989,tt1371111
22751,nm0836343,tt1371111
22752,nm1120593,tt1219342
22753,nm0180411,tt1219342
22754,nm0204583,tt1219342
22755,nm0249291,tt1219342
22761,nm0425005,tt1267297
22762,nm0574534,tt1267297
22763,nm0000457,tt1267297
22764,nm0001722,tt1267297
22765,nm0377336,tt1267297
22775,nm0000230,tt2333784
22776,nm0005458,tt2333784
22777,nm0000148,tt2333784
22778,nm0000216,tt2333784
22779,nm0000154,tt2333784
22789,nm1165110,tt1390411
22790,nm0907548,tt1390411
22791,nm0614165,tt1390411
22792,nm0322407,tt1390411
22793,nm0924210,tt1390411
22823,nm0000288,tt1410063
22824,nm4809043,tt1410063
22825,nm5149048,tt1410063
22841,nm0002071,tt1790886
22842,nm0302108,tt1790886
22843,nm0837177,tt1790886
22844,nm0001518,tt1790886
22845,nm0478762,tt1790886
22851,nm0000572,tt1261945
22852,nm0004862,tt1261945
22853,nm0633223,tt1261945
22854,nm0000326,tt1261945
22855,nm1400121,tt1261945
22861,nm2106637,tt1667889
22862,nm0066877,tt1667889
22863,nm0149260,tt1667889
22864,nm3637636,tt1667889
22865,nm0000949,tt1661199
22866,nm4141252,tt1661199
22867,nm0534635,tt1661199
22868,nm0000307,tt1661199
22869,nm1996829,tt1661199
22889,nm0000313,tt1121096
22890,nm1602660,tt1121096
22891,nm0000194,tt1121096
22892,nm2539953,tt1121096
22893,nm1662644,tt1121096
22899,nm0000136,tt2209764
22900,nm0356017,tt2209764
22901,nm0079273,tt2209764
22902,nm0614165,tt2209764
22903,nm0544718,tt2209764
22909,nm0785227,tt1318514
22910,nm0465269,tt1318514
22911,nm1024953,tt1318514
22912,nm0725956,tt1318514
22913,nm1341724,tt1318514
22919,nm0000246,tt1606378
22920,nm2541974,tt1606378
22921,nm0462407,tt1606378
22922,nm0935541,tt1606378
22923,nm2568364,tt1606378
22974,nm0228327,tt1080016
22975,nm0281068,tt1080016
23001,nm0185819,tt1568346
23002,nm1913734,tt1568346
23003,nm0001626,tt1568346
23004,nm0001745,tt1568346
23005,nm0000925,tt1568346
23071,nm0503567,tt1854564
23072,nm1275259,tt1854564
23073,nm0808022,tt1854564
23074,nm1628079,tt1854564
23075,nm1040365,tt1854564
23086,nm0228327,tt1436562
23087,nm0005182,tt1436562
23088,nm1960185,tt1436562
23117,nm0680051,tt1041804
23118,nm2064726,tt1041804
23119,nm1863764,tt1041804
23120,nm3155876,tt1041804
23121,nm1102577,tt1041804
23152,nm0532193,tt1509767
23153,nm0000170,tt1509767
23154,nm2932174,tt1509767
23155,nm0646792,tt1509767
23156,nm1812656,tt1509767
23172,nm0000243,tt1599348
23173,nm0005351,tt1599348
23174,nm0267812,tt1599348
