"movieid","title"
"tt0113845","Money Train"
"tt2637276","Ted 2"
"tt1186830","Agora"
"tt0132347","Mystery Men"
"tt0480687","Hall Pass"
"tt0140352","The Insider"
"tt2025690","The Finest Hours"
"tt0758774","Body of Lies"
"tt0427152","Dinner for Schmucks"
"tt1611224","Abraham Lincoln: Vampire Hunter"
"tt0137494","Entrapment"
"tt1828327","Last Man Standing"
"tt0120902","The X Files"
"tt0462396","The Last Legion"
"tt0120815","Saving Private Ryan"
"tt2369135","Need for Speed"
"tt0268380","Ice Age"
"tt0285531","Dreamcatcher"
"tt0443272","Lincoln"
"tt0133093","The Matrix"
"tt0112384","Apollo 13"
"tt0304669","The Santa Clause 2"
"tt1707386","Les Misérables"
"tt0128853","You've Got Mail"
"tt0838283","Step Brothers"
"tt0120746","The Mask of Zorro"
"tt1231583","Due Date"
"tt1809398","Unbroken"
"tt0186566","Space Cowboys"
"tt0106582","Cliffhanger"
"tt0115759","Broken Arrow"
"tt0219854","The Kid"
"tt0469641","World Trade Center"
"tt0304415","Mona Lisa Smile"
"tt1645170","The Dictator"
"tt0120663","Eyes Wide Shut"
"tt1823664","Annie"
"tt2381941","Focus"
"tt1596350","This Means War"
"tt0359013","Blade: Trinity"
"tt0087985","Red Dawn"
"tt0119942","Primary Colors"
"tt1855325","Resident Evil: Retribution"
"tt0452608","Death Race"
"tt0116908","The Long Kiss Goodnight"
"tt0228750","Proof of Life"
"tt0406375","Zathura: A Space Adventure"
"tt0137523","Fight Club"
"tt0758794","We Are Marshall"
"tt3877200","The Missing"
"tt0102070","Hudson Hawk"
"tt0219952","Lucky Numbers"
"tt1418377","I, Frankenstein"
"tt0380599","Oliver Twist"
"tt0357277","Elektra"
"tt0458481","Sin City: A Dame to Kill For"
"tt0156934","Random Hearts"
"tt2719848","Everest"
"tt0396171","Perfume: The Story of a Murderer"
"tt0295178","Austin Powers in Goldmember"
"tt0375568","Astro Boy"
"tt0107290","Jurassic Park"
"tt0111756","Wyatt Earp"
"tt0109444","Clear and Present Danger"
"tt3672840","Tian jiang xiong shi"
"tt0430304","Little Man"
"tt0112346","The American President"
"tt0811138","The Love Guru"
"tt0233142","3000 Miles to Graceland"
"tt3460252","The Hateful Eight"
"tt0445934","Blades of Glory"
"tt1411704","Hop"
"tt0416449","300"
"tt0290002","Meet the Fockers"
"tt0822832","Marley & Me"
"tt0120689","The Green Mile"
"tt0486946","Wild Hogs"
"tt0371606","Chicken Little"
"tt2267998","Gone Girl"
"tt0258463","The Bourne Identity"
"tt0113189","GoldenEye"
"tt0144214","The General's Daughter"
"tt0120382","The Truman Show"
"tt0120794","The Prince of Egypt"
"tt0317303","Daddy Day Care"
"tt1272878","2 Guns"
"tt0239395","Cats & Dogs"
"tt0317740","The Italian Job"
"tt0313737","Two Weeks Notice"
"tt0120587","Antz"
"tt1078940","Couples Retreat"
"tt0099371","Days of Thunder"
"tt0452598","Cheaper by the Dozen 2"
"tt4046784","Maze Runner: The Scorch Trials"
"tt0879870","Eat Pray Love"
"tt1245526","RED"
"tt0119314","The Horse Whisperer"
"tt0369339","Collateral"
"tt0277296","The Scorpion King"
"tt0349710","Ladder 49"
"tt0790724","Jack Reacher"
"tt0149261","Deep Blue Sea"
"tt1477715","This Is It"
"tt1598778","Contagion"
"tt0257568","Kangaroo Jack"
"tt0327597","Coraline"
"tt0949731","The Happening"
"tt0328107","Man on Fire"
"tt0393735","The Shaggy Dog"
"tt0335438","Starsky & Hutch"
"tt0116705","Jingle All the Way"
"tt0167190","Hellboy"
